case_id,source_file,processed_ts,dr_no,date_of_occurrence,aircraft,trade,system,main_assembly,nomenclature,mod_status,part_no,serial_no,date_of_installation,date_of_removal,manufacturer,manufacture_date,warranty,amc_repair_contract,life_hours,life_cycles,defect_category,defect_observed,root_cause,findings,corrective_action,preventive_action,remarks_investigation,remarks_design,remarks_quality,remarks_user,remarks_ordaqa,remarks_cemilac,date_component_received,approval_design_name,approval_design_date,approval_quality_name,approval_quality_date,approval_user_name,approval_user_date,approval_ordaqa_name,approval_ordaqa_date,approval_cemilac_name,approval_cemilac_date,root_cause_clean,root_cause_cluster,defect_len,risk_label,risk_score,risk_level
DR_2021_0219,FORM44_Synthetic_219.pdf,2025-12-12T16:55:00.224662,DR/2021/0219,27/05/2023,Medusa Strike - AC-7057-443 at Regional Depot-B,Mechanical,Door Mechanism,Station-2 Port,Door Mechanism Assembly Unit,Modified,MC-4196-D1,SN-9304-557,05/05/2023,03/06/2023,Sigma Aerospace Industries,April 2020,No,Yes,4840,217,Critical,Trim tab actuator binding. Issue identified during pre-flight checks.,Manufacturing defect in material composition leading to premature failure,Detailed investigation conducted on the defective Door Mechanism component. Inspection revealed damage to critical components.,Conduct detailed inspection of all similar components in fleet,Reduce inspection interval for affected component type,Detailed examination conducted. Corrective measures implemented.,Design assessment confirms component operated within specified limits. Recommend enhanced inspection protocol. Date: 05/07/2023 Authorized Signatory of Design: Eng. T.R. Menon,Dept. Manufacturing quality documentation reviewed. No deviations noted. Concur with investigation findings. Date: 08/07/2023 Signature: Air Cmde S.B. Rao,(Project):(if applicable) Operational usage reviewed. Component operated within prescribed limits. Concur with investigation outcome. Date: 06/07/2023 Signature: Wg Cdr D.S. Nair,"(Quality Aspects) From quality standpoint, root cause analysis is thorough. Corrective measures are appropriate. Concur. Date: 10/07/2023 Signature: Eng. T.R. Menon",/ RCMA (Design Aspects) Airworthiness implications assessed. Recommend issuance of technical directive for fleet-wide compliance. Date: 12/07/2023 Signature: Dr. P.L. Mehta,06/06/2023,Eng. T.R. Menon,2023-07-05,Air Cmde S.B. Rao,2023-07-08,Wg Cdr D.S. Nair,2023-07-06,Eng. T.R. Menon,2023-07-10,Dr. P.L. Mehta,2023-07-12,Manufacturing defect in material composition leading to premature failure,4,69,1,0.2649512030206362,Low
DR_2021_0226,FORM44_Synthetic_226.pdf,2025-12-12T16:55:01.260913,DR/2021/0226,29/09/2024,Osprey Guardian - AC-4807-981 at Central Command Hub,Electrical,Emergency Power,Rack-Beta,Emergency Power Assembly Unit,MOD-A,EL-2721-K3,SN-2504-101,17/12/2020,05/10/2024,Delta Defense Systems,February 2017,No,No,4995,730,Major,Inverter output voltage deviation. Issue identified during pre-flight checks.,Contamination ingress through damaged seal assembly,Detailed investigation conducted on the defective Emergency Power component. Analysis of operational data indicated parameter deviation.,Implement enhanced testing protocol before component installation,Enhance operator training on proper usage procedures,Thorough investigation completed. Preventive actions recommended.,Design assessment confirms component operated within specified limits. Recommend enhanced inspection protocol. Date: 21/10/2024 Authorized Signatory of Design: Dr. P.L. Mehta,Dept. Component inspection records verified. All quality parameters were within acceptable limits during manufacturing. Date: 23/10/2024 Signature: Dr. P.L. Mehta,(Project):(if applicable) User perspective considered. Recommend update to operating procedures based on lessons learned. Date: 23/10/2024 Signature: Eng. T.R. Menon,(Quality Aspects) Quality assurance framework assessed. Investigation process followed established protocols. Findings are valid. Date: 27/10/2024 Signature: Dr. S.M. Kulkarni,/ RCMA (Design Aspects) Certification review completed. Proposed modifications do not affect type design approval. Acceptable. Date: 31/10/2024 Signature: Dr. A.K. Sharma,06/10/2024,Dr. P.L. Mehta,2024-10-21,Dr. P.L. Mehta,2024-10-23,Eng. T.R. Menon,2024-10-23,Dr. S.M. Kulkarni,2024-10-27,Dr. A.K. Sharma,2024-10-31,Contamination ingress through damaged seal assembly,0,77,0,0.5201496437269295,Medium
DR_2021_0231,FORM44_Synthetic_231.pdf,2025-12-12T16:55:01.993860,DR/2021/0231,01/08/2024,Spectre Night - AC-3405-356 at Zone-3 Facility,Structural,Access Panels,Bay-1,Access Panels Assembly Unit,MOD-C,ST-3981-V7,SN-5258-482,28/08/2023,03/08/2024,Skyward Defense Systems,July 2016,Yes,Yes,1055,287,Minor,Canopy seal deterioration. Issue identified during pre-flight checks.,Inadequate maintenance procedure resulting in improper installation,Detailed investigation conducted on the defective Access Panels component. Functional testing confirmed the reported anomaly.,Adjust calibration settings to manufacturer specifications,Implement condition-based monitoring system,Thorough investigation completed. Preventive actions recommended.,Technical evaluation completed. Proposed preventive measures are appropriate and align with design intent. Date: 16/08/2024 Authorized Signatory of Design: Dr. S.M. Kulkarni,Dept. Quality assurance review completed. Recommend enhanced incoming inspection criteria for this component type. Date: 18/08/2024 Signature: Air Cmde S.B. Rao,(Project):(if applicable) Operational history analyzed. No abnormal usage patterns identified. Agree with proposed corrective actions. Date: 21/08/2024 Signature: Dr. P.L. Mehta,(Quality Aspects) Quality assurance framework assessed. Investigation process followed established protocols. Findings are valid. Date: 23/08/2024 Signature: Gp Capt V.S. Pillai,/ RCMA (Design Aspects) Design authority review completed. Recommend continued airworthiness monitoring of affected component type. Date: 22/08/2024 Signature: Gp Capt N.R. Kumar,04/08/2024,Dr. S.M. Kulkarni,2024-08-16,Air Cmde S.B. Rao,2024-08-18,Dr. P.L. Mehta,2024-08-21,Gp Capt V.S. Pillai,2024-08-23,Gp Capt N.R. Kumar,2024-08-22,Inadequate maintenance procedure resulting in improper installation,1,69,0,0.4229638458644496,Medium
DR_2021_0263,FORM44_Synthetic_263.pdf,2025-12-12T16:55:05.939188,DR/2021/0263,17/12/2023,Falcon Prime - AC-1179-373 at Maintenance Hub-X,Electrical,Power Distribution,Bay-2,Power Distribution Assembly Unit,Modified,EL-5938-U7,SN-7885-872,12/12/2021,21/12/2023,Meridian Aviation Industries,July 2020,Yes,No,1217,815,Minor,Generator output instability. Defect found during scheduled maintenance.,Contamination ingress through damaged seal assembly,Detailed investigation conducted on the defective Power Distribution component. Physical examination revealed signs of wear and degradation.,Revise maintenance procedure to include additional verification steps,Modify design to incorporate additional safety margin,Investigation completed as per established procedures. All findings documented.,Design assessment confirms component operated within specified limits. Recommend enhanced inspection protocol. Date: 10/01/2024 Authorized Signatory of Design: Wg Cdr D.S. Nair,Dept. Component inspection records verified. All quality parameters were within acceptable limits during manufacturing. Date: 11/01/2024 Signature: Wg Cdr M.S. Reddy,(Project):(if applicable) Fleet experience reviewed. Similar occurrences noted on other platforms. Support fleet-wide inspection. Date: 13/01/2024 Signature: Air Cmde R.K. Joshi,(Quality Aspects) Quality aspects from regulatory perspective reviewed. Investigation methodology is comprehensive and acceptable. Date: 13/01/2024 Signature: Wg Cdr D.S. Nair,/ RCMA (Design Aspects) Airworthiness implications assessed. Recommend issuance of technical directive for fleet-wide compliance. Date: 18/01/2024 Signature: Air Cmde R.K. Joshi,24/12/2023,Wg Cdr D.S. Nair,2024-01-10,Wg Cdr M.S. Reddy,2024-01-11,Air Cmde R.K. Joshi,2024-01-13,Wg Cdr D.S. Nair,2024-01-13,Air Cmde R.K. Joshi,2024-01-18,Contamination ingress through damaged seal assembly,0,72,0,0.45020365436238013,Medium
DR_2021_0270,FORM44_Synthetic_270.pdf,2025-12-12T16:55:06.732689,DR/2021/0270,12/04/2024,Venom Attack - AC-5844-401 at Base Echo,Structural,Canopy System,Station-4 Port,Canopy System Assembly Unit,MOD-D,ST-6935-R2,SN-6521-528,02/09/2020,17/04/2024,Omega Flight Technologies,March 2017,Yes,No,2879,583,Mission Critical,Tail assembly rivet loosening. Issue identified during pre-flight checks.,Design limitation in component load capacity under extreme conditions,Detailed investigation conducted on the defective Canopy System component. Analysis of operational data indicated parameter deviation.,Replace defective component with serviceable unit from approved stock,Conduct fleet-wide inspection campaign,Detailed examination conducted. Corrective measures implemented.,Detailed analysis indicates design margins are adequate. Failure attributed to operational factors. Concur with findings. Date: 26/04/2024 Authorized Signatory of Design: Wg Cdr B.P. Gupta,Dept. Quality control procedures verified. Recommend periodic surveillance of manufacturing facility. Date: 29/04/2024 Signature: Sqn Ldr H.S. Bhatia,(Project):(if applicable) User perspective considered. Recommend update to operating procedures based on lessons learned. Date: 29/04/2024 Signature: Eng. T.R. Menon,(Quality Aspects) Quality assurance framework assessed. Investigation process followed established protocols. Findings are valid. Date: 03/05/2024 Signature: Eng. K.N. Iyer,/ RCMA (Design Aspects) Airworthiness implications assessed. Recommend issuance of technical directive for fleet-wide compliance. Date: 01/05/2024 Signature: Wg Cdr B.P. Gupta,19/04/2024,Wg Cdr B.P. Gupta,2024-04-26,Sqn Ldr H.S. Bhatia,2024-04-29,Eng. T.R. Menon,2024-04-29,Eng. K.N. Iyer,2024-05-03,Wg Cdr B.P. Gupta,2024-05-01,Design limitation in component load capacity under extreme conditions,5,73,1,0.26907933226414726,Low
DR_2021_0279,FORM44_Synthetic_279.pdf,2025-12-12T16:55:07.814133,DR/2021/0279,21/06/2023,Mantis Recon - AC-6987-367 at Sector West Station,Armament,Weapon Release,Pylon-A,Weapon Release Assembly Unit,MOD-D,AR-3064-G4,SN-8860-975,27/06/2020,25/06/2023,Pinnacle Aerospace,January 2016,Yes,Yes,4428,1160,Major,Weapon station electrical short. Issue identified during pre-flight checks.,Software algorithm error in control logic implementation,Detailed investigation conducted on the defective Weapon Release component. Physical examination revealed signs of wear and degradation.,Replace defective component with serviceable unit from approved stock,Conduct fleet-wide inspection campaign,Complete defect analysis performed. Lessons learned documented.,Technical evaluation completed. Proposed preventive measures are appropriate and align with design intent. Date: 25/07/2023 Authorized Signatory of Design: Gp Capt N.R. Kumar,Dept. Quality aspects reviewed. Manufacturing process controls are adequate. Recommend supplier quality audit. Date: 28/07/2023 Signature: Air Cmde S.B. Rao,(Project):(if applicable) User perspective considered. Recommend update to operating procedures based on lessons learned. Date: 30/07/2023 Signature: Gp Capt N.R. Kumar,(Quality Aspects) Quality assurance framework assessed. Investigation process followed established protocols. Findings are valid. Date: 01/08/2023 Signature: Gp Capt N.R. Kumar,/ RCMA (Design Aspects) Airworthiness implications assessed. Recommend issuance of technical directive for fleet-wide compliance. Date: 30/07/2023 Signature: Gp Capt N.R. Kumar,28/06/2023,Gp Capt N.R. Kumar,2023-07-25,Air Cmde S.B. Rao,2023-07-28,Gp Capt N.R. Kumar,2023-07-30,Gp Capt N.R. Kumar,2023-08-01,Gp Capt N.R. Kumar,2023-07-30,Software algorithm error in control logic implementation,0,75,0,0.22313313740204355,Low
DR_2021_0280,FORM44_Synthetic_280.pdf,2025-12-12T16:55:07.945353,DR/2021/0280,25/08/2024,Osprey Guardian - AC-2415-890 at Regional Depot-A,Armament,Fire Control,Tail Section,Fire Control Assembly Unit,MOD-D,AR-3346-N3,SN-6323-771,18/01/2023,31/08/2024,Apex Defense Manufacturing,March 2020,No,Yes,111,246,Mission Critical,Fire control computer error. Abnormality observed during system test.,Software algorithm error in control logic implementation,Detailed investigation conducted on the defective Fire Control component. Testing confirmed performance below acceptable limits.,Implement enhanced testing protocol before component installation,Update technical documentation with lessons learned,Investigation completed as per established procedures. All findings documented.,Detailed analysis indicates design margins are adequate. Failure attributed to operational factors. Concur with findings. Date: 09/09/2024 Authorized Signatory of Design: Sqn Ldr A.R. Desai,Dept. Manufacturing quality documentation reviewed. No deviations noted. Concur with investigation findings. Date: 12/09/2024 Signature: Wg Cdr M.S. Reddy,(Project):(if applicable) Fleet experience reviewed. Similar occurrences noted on other platforms. Support fleet-wide inspection. Date: 11/09/2024 Signature: Wg Cdr D.S. Nair,"(Quality Aspects) From quality standpoint, root cause analysis is thorough. Corrective measures are appropriate. Concur. Date: 14/09/2024 Signature: Dr. P.L. Mehta",/ RCMA (Design Aspects) Design aspects reviewed from certification authority perspective. Investigation is thorough and conclusions are sound. Date: 14/09/2024 Signature: Gp Capt V.S. Pillai,01/09/2024,Sqn Ldr A.R. Desai,2024-09-09,Wg Cdr M.S. Reddy,2024-09-12,Wg Cdr D.S. Nair,2024-09-11,Dr. P.L. Mehta,2024-09-14,Gp Capt V.S. Pillai,2024-09-14,Software algorithm error in control logic implementation,0,69,1,0.5236445479324852,Medium
DR_2021_0282,FORM44_Synthetic_282.pdf,2025-12-12T16:55:08.147414,DR/2021/0282,21/03/2023,Chimera Multi - AC-8661-825 at Zone-2 Facility,Propulsion,Turbine Assembly,Pylon-B,Turbine Assembly Assembly Unit,MOD-B,PR-5825-C6,SN-2105-738,22/03/2022,23/03/2023,Stellar Avionics Ltd,September 2016,No,No,1147,1619,Critical,Compressor stall during acceleration. Abnormality observed during system test.,Software algorithm error in control logic implementation,Detailed investigation conducted on the defective Turbine Assembly component. Functional testing confirmed the reported anomaly.,Adjust calibration settings to manufacturer specifications,Establish periodic calibration schedule,Thorough investigation completed. Preventive actions recommended.,Design review completed. No design modification required. Component replacement as per maintenance manual is adequate. Date: 12/04/2023 Authorized Signatory of Design: Dr. A.K. Sharma,Dept. Quality aspects reviewed. Manufacturing process controls are adequate. Recommend supplier quality audit. Date: 14/04/2023 Signature: Dr. S.M. Kulkarni,(Project):(if applicable) Operational usage reviewed. Component operated within prescribed limits. Concur with investigation outcome. Date: 16/04/2023 Signature: Sqn Ldr H.S. Bhatia,"(Quality Aspects) From quality standpoint, root cause analysis is thorough. Corrective measures are appropriate. Concur. Date: 15/04/2023 Signature: Dr. A.K. Sharma",/ RCMA (Design Aspects) Design aspects reviewed from certification authority perspective. Investigation is thorough and conclusions are sound. Date: 19/04/2023 Signature: Gp Capt N.R. Kumar,25/03/2023,Dr. A.K. Sharma,2023-04-12,Dr. S.M. Kulkarni,2023-04-14,Sqn Ldr H.S. Bhatia,2023-04-16,Dr. A.K. Sharma,2023-04-15,Gp Capt N.R. Kumar,2023-04-19,Software algorithm error in control logic implementation,0,78,1,0.5485261535514376,Medium
DR_2021_0290,FORM44_Synthetic_290.pdf,2025-12-12T16:55:09.041367,DR/2021/0290,23/10/2024,Atlas Cargo - AC-2319-424 at Sector East Station,Mechanical,Cargo Handling,Tail Section,Cargo Handling Assembly Unit,MOD-A,MC-3082-C2,SN-9828-407,22/12/2023,27/10/2024,Pinnacle Aerospace,November 2017,No,Yes,4702,295,Safety Critical,Wheel brake assembly seizure. Abnormality observed during system test.,Contamination ingress through damaged seal assembly,Detailed investigation conducted on the defective Cargo Handling component. Testing confirmed performance below acceptable limits.,Revise maintenance procedure to include additional verification steps,Conduct fleet-wide inspection campaign,Investigation completed as per established procedures. All findings documented.,Investigation findings reviewed. Root cause analysis is acceptable. Recommend implementation of proposed corrective actions. Date: 23/11/2024 Authorized Signatory of Design: Dr. A.K. Sharma,Dept. Manufacturing quality documentation reviewed. No deviations noted. Concur with investigation findings. Date: 24/11/2024 Signature: Dr. S.M. Kulkarni,(Project):(if applicable) User feedback incorporated. Recommend enhanced crew training on system operation and limitations. Date: 28/11/2024 Signature: Eng. R.P. Singh,(Quality Aspects) Regulatory quality requirements verified. Proposed actions meet airworthiness standards. Recommend approval. Date: 30/11/2024 Signature: Dr. P.L. Mehta,"/ RCMA (Design Aspects) From regulatory standpoint, investigation meets required standards. Approve proposed corrective actions. Date: 28/11/2024 Signature: Sqn Ldr H.S. Bhatia",28/10/2024,Dr. A.K. Sharma,2024-11-23,Dr. S.M. Kulkarni,2024-11-24,Eng. R.P. Singh,2024-11-28,Dr. P.L. Mehta,2024-11-30,Sqn Ldr H.S. Bhatia,2024-11-28,Contamination ingress through damaged seal assembly,0,70,0,0.2035436118183106,Low
DR_2021_0295,FORM44_Synthetic_295.pdf,2025-12-12T16:55:09.622388,DR/2021/0295,23/03/2024,Sparrow Light - AC-1005-250 at Zone-4 Facility,Avionics,Mission Computer,Station-1 Port,Mission Computer Assembly Unit,MOD-B,AV-5372-W2,SN-4887-484,11/03/2021,27/03/2024,Guardian Defense Industries,March 2017,Yes,Yes,380,1652,Minor,Data link transmission errors. Malfunction reported by flight crew.,Age-related degradation of elastomeric components,Detailed investigation conducted on the defective Mission Computer component. Functional testing confirmed the reported anomaly.,Revise maintenance procedure to include additional verification steps,Reduce inspection interval for affected component type,Complete defect analysis performed. Lessons learned documented.,Design review completed. No design modification required. Component replacement as per maintenance manual is adequate. Date: 08/04/2024 Authorized Signatory of Design: Sqn Ldr A.R. Desai,Dept. Quality control procedures verified. Recommend periodic surveillance of manufacturing facility. Date: 11/04/2024 Signature: Gp Capt N.R. Kumar,(Project):(if applicable) Operational history analyzed. No abnormal usage patterns identified. Agree with proposed corrective actions. Date: 12/04/2024 Signature: Wg Cdr M.S. Reddy,(Quality Aspects) Regulatory quality requirements verified. Proposed actions meet airworthiness standards. Recommend approval. Date: 15/04/2024 Signature: Wg Cdr M.S. Reddy,/ RCMA (Design Aspects) Airworthiness implications assessed. Recommend issuance of technical directive for fleet-wide compliance. Date: 17/04/2024 Signature: Gp Capt V.S. Pillai,28/03/2024,Sqn Ldr A.R. Desai,2024-04-08,Gp Capt N.R. Kumar,2024-04-11,Wg Cdr M.S. Reddy,2024-04-12,Wg Cdr M.S. Reddy,2024-04-15,Gp Capt V.S. Pillai,2024-04-17,Age-related degradation of elastomeric components,2,67,0,0.4794918343015937,Medium
DR_2021_0303,FORM44_Synthetic_303.pdf,2025-12-12T16:55:10.591424,DR/2021/0303,09/04/2023,Pelican Cargo - AC-4202-681 at Base Delta,Mechanical,Fuel System,Bay-2,Fuel System Assembly Unit,MOD-A,MC-4514-Z6,SN-2820-565,11/07/2023,14/04/2023,Precision Avionics Corp,January 2020,No,Yes,3863,390,Minor,Cargo hook release malfunction. Anomaly detected during routine inspection.,Component fatigue due to operational stress cycles exceeding design limits,Detailed investigation conducted on the defective Fuel System component. Functional testing confirmed the reported anomaly.,Replace entire assembly due to extent of damage,Conduct fleet-wide inspection campaign,Comprehensive analysis performed. Root cause identified and verified.,Design assessment confirms component operated within specified limits. Recommend enhanced inspection protocol. Date: 08/05/2023 Authorized Signatory of Design: Eng. T.R. Menon,Dept. Quality aspects reviewed. Manufacturing process controls are adequate. Recommend supplier quality audit. Date: 10/05/2023 Signature: Air Cmde S.B. Rao,(Project):(if applicable) User feedback incorporated. Recommend enhanced crew training on system operation and limitations. Date: 09/05/2023 Signature: Dr. P.L. Mehta,"(Quality Aspects) From quality standpoint, root cause analysis is thorough. Corrective measures are appropriate. Concur. Date: 15/05/2023 Signature: Sqn Ldr H.S. Bhatia",/ RCMA (Design Aspects) Airworthiness implications assessed. Recommend issuance of technical directive for fleet-wide compliance. Date: 16/05/2023 Signature: Wg Cdr B.P. Gupta,16/04/2023,Eng. T.R. Menon,2023-05-08,Air Cmde S.B. Rao,2023-05-10,Dr. P.L. Mehta,2023-05-09,Sqn Ldr H.S. Bhatia,2023-05-15,Wg Cdr B.P. Gupta,2023-05-16,Component fatigue due to operational stress cycles exceeding design limits,5,75,0,0.3002074936719789,Low
DR_2021_0329,FORM44_Synthetic_329.pdf,2025-12-12T16:55:13.756026,DR/2021/0329,26/11/2024,Shadow Hunter - AC-7390-284 at Maintenance Hub-X,Mechanical,Flight Control,Rack-Alpha,Flight Control Assembly Unit,Standard,MC-9121-F1,SN-9542-685,21/05/2020,01/12/2024,Zeta Systems Corp,October 2019,No,No,4337,1166,Observation,Fuel pump bearing wear beyond limits. Issue identified during pre-flight checks.,Design limitation in component load capacity under extreme conditions,Detailed investigation conducted on the defective Flight Control component. Testing confirmed performance below acceptable limits.,Conduct non-destructive testing to verify structural integrity,Establish periodic calibration schedule,Comprehensive analysis performed. Root cause identified and verified.,Detailed analysis indicates design margins are adequate. Failure attributed to operational factors. Concur with findings. Date: 28/12/2024 Authorized Signatory of Design: Eng. K.N. Iyer,Dept. Quality aspects reviewed. Manufacturing process controls are adequate. Recommend supplier quality audit. Date: 30/12/2024 Signature: Eng. K.N. Iyer,(Project):(if applicable) Fleet experience reviewed. Similar occurrences noted on other platforms. Support fleet-wide inspection. Date: 02/01/2025 Signature: Dr. S.M. Kulkarni,(Quality Aspects) Quality aspects from regulatory perspective reviewed. Investigation methodology is comprehensive and acceptable. Date: 03/01/2025 Signature: Air Cmde S.B. Rao,/ RCMA (Design Aspects) Certification review completed. Proposed modifications do not affect type design approval. Acceptable. Date: 02/01/2025 Signature: Eng. K.N. Iyer,02/12/2024,Eng. K.N. Iyer,2024-12-28,Eng. K.N. Iyer,2024-12-30,Dr. S.M. Kulkarni,2025-01-02,Air Cmde S.B. Rao,2025-01-03,Eng. K.N. Iyer,2025-01-02,Design limitation in component load capacity under extreme conditions,5,80,0,0.27586060628504167,Low
DR_2021_0337,FORM44_Synthetic_337.pdf,2025-12-12T16:55:14.633782,DR/2021/0337,19/11/2023,Pegasus Swift - AC-4634-403 at Maintenance Hub-Y,Pneumatic,Pressurization,Rack-Alpha,Pressurization Assembly Unit,MOD-D,PN-1493-S9,SN-5886-410,03/08/2020,25/11/2023,Skyward Defense Systems,September 2017,Yes,No,2657,680,Minor,Bleed air temperature exceedance. Defect found during scheduled maintenance.,Software algorithm error in control logic implementation,Detailed investigation conducted on the defective Pressurization component. Inspection revealed damage to critical components.,Replace entire assembly due to extent of damage,Issue technical bulletin to all operators,Complete defect analysis performed. Lessons learned documented.,Detailed analysis indicates design margins are adequate. Failure attributed to operational factors. Concur with findings. Date: 20/12/2023 Authorized Signatory of Design: Eng. T.R. Menon,Dept. Quality aspects reviewed. Manufacturing process controls are adequate. Recommend supplier quality audit. Date: 22/12/2023 Signature: Dr. S.M. Kulkarni,(Project):(if applicable) Operational history analyzed. No abnormal usage patterns identified. Agree with proposed corrective actions. Date: 24/12/2023 Signature: Sqn Ldr H.S. Bhatia,(Quality Aspects) Quality aspects from regulatory perspective reviewed. Investigation methodology is comprehensive and acceptable. Date: 26/12/2023 Signature: Dr. S.M. Kulkarni,/ RCMA (Design Aspects) Certification review completed. Proposed modifications do not affect type design approval. Acceptable. Date: 30/12/2023 Signature: Eng. R.P. Singh,27/11/2023,Eng. T.R. Menon,2023-12-20,Dr. S.M. Kulkarni,2023-12-22,Sqn Ldr H.S. Bhatia,2023-12-24,Dr. S.M. Kulkarni,2023-12-26,Eng. R.P. Singh,2023-12-30,Software algorithm error in control logic implementation,0,76,0,0.3506931841487692,Low
DR_2021_0339,FORM44_Synthetic_339.pdf,2025-12-12T16:55:14.861643,DR/2021/0339,07/11/2024,Kestrel Patrol - AC-2660-537 at Zone-4 Facility,Mechanical,Fuel System,Rack-Beta,Fuel System Assembly Unit,Modified,MC-2637-C4,SN-7023-781,03/06/2023,13/11/2024,AeroTech Industries Ltd,May 2018,No,No,1348,365,Critical,Door latch mechanism failure to engage. Anomaly detected during routine inspection.,Age-related degradation of elastomeric components,Detailed investigation conducted on the defective Fuel System component. Testing confirmed performance below acceptable limits.,Clean and re-lubricate affected assemblies per technical manual,Update technical documentation with lessons learned,Detailed examination conducted. Corrective measures implemented.,Technical evaluation completed. Proposed preventive measures are appropriate and align with design intent. Date: 23/11/2024 Authorized Signatory of Design: Eng. T.R. Menon,Dept. Quality aspects reviewed. Manufacturing process controls are adequate. Recommend supplier quality audit. Date: 26/11/2024 Signature: Wg Cdr D.S. Nair,(Project):(if applicable) User feedback incorporated. Recommend enhanced crew training on system operation and limitations. Date: 28/11/2024 Signature: Dr. S.M. Kulkarni,(Quality Aspects) Quality assurance framework assessed. Investigation process followed established protocols. Findings are valid. Date: 28/11/2024 Signature: Eng. T.R. Menon,/ RCMA (Design Aspects) Airworthiness implications assessed. Recommend issuance of technical directive for fleet-wide compliance. Date: 01/12/2024 Signature: Gp Capt N.R. Kumar,14/11/2024,Eng. T.R. Menon,2024-11-23,Wg Cdr D.S. Nair,2024-11-26,Dr. S.M. Kulkarni,2024-11-28,Eng. T.R. Menon,2024-11-28,Gp Capt N.R. Kumar,2024-12-01,Age-related degradation of elastomeric components,2,83,1,0.43284139869027666,Medium
DR_2021_0341,FORM44_Synthetic_341.pdf,2025-12-12T16:55:15.081799,DR/2021/0341,14/05/2024,Spectre Night - AC-7720-917 at Zone-2 Facility,Mechanical,Flight Control,Tail Section,Flight Control Assembly Unit,Modified,MC-1841-P6,SN-7030-236,18/05/2022,18/05/2024,Omega Flight Technologies,January 2015,Yes,Yes,4039,648,Observation,Actuator rod end play exceeding tolerance. Issue identified during pre-flight checks.,Vibration induced loosening of mechanical fasteners,Detailed investigation conducted on the defective Flight Control component. Physical examination revealed signs of wear and degradation.,Replace defective component with serviceable unit from approved stock,Introduce protective coating to prevent environmental degradation,Detailed examination conducted. Corrective measures implemented.,Design review completed. No design modification required. Component replacement as per maintenance manual is adequate. Date: 30/05/2024 Authorized Signatory of Design: Gp Capt N.R. Kumar,Dept. Component inspection records verified. All quality parameters were within acceptable limits during manufacturing. Date: 02/06/2024 Signature: Eng. K.N. Iyer,(Project):(if applicable) User feedback incorporated. Recommend enhanced crew training on system operation and limitations. Date: 03/06/2024 Signature: Eng. R.P. Singh,(Quality Aspects) Quality assurance framework assessed. Investigation process followed established protocols. Findings are valid. Date: 05/06/2024 Signature: Dr. P.L. Mehta,"/ RCMA (Design Aspects) From regulatory standpoint, investigation meets required standards. Approve proposed corrective actions. Date: 06/06/2024 Signature: Wg Cdr M.S. Reddy",21/05/2024,Gp Capt N.R. Kumar,2024-05-30,Eng. K.N. Iyer,2024-06-02,Eng. R.P. Singh,2024-06-03,Dr. P.L. Mehta,2024-06-05,Wg Cdr M.S. Reddy,2024-06-06,Vibration induced loosening of mechanical fasteners,3,85,0,0.3408414178974909,Low
DR_2021_0346,FORM44_Synthetic_346.pdf,2025-12-12T16:55:15.712929,DR/2021/0346,24/03/2023,Sentinel-15 - AC-7805-111 at Regional Depot-B,Mechanical,Cargo Handling,Station-2 Port,Cargo Handling Assembly Unit,MOD-A,MC-3260-Z4,SN-5273-745,09/03/2021,28/03/2023,Gamma Defense Manufacturing,October 2020,Yes,No,1512,1103,Observation,Flap extension asymmetry. Anomaly detected during routine inspection.,Thermal cycling induced solder joint failure in electronic assembly,Detailed investigation conducted on the defective Cargo Handling component. Testing confirmed performance below acceptable limits.,Conduct detailed inspection of all similar components in fleet,Issue technical bulletin to all operators,Investigation completed as per established procedures. All findings documented.,Technical evaluation completed. Proposed preventive measures are appropriate and align with design intent. Date: 26/04/2023 Authorized Signatory of Design: Sqn Ldr V.K. Patel,Dept. Manufacturing quality documentation reviewed. No deviations noted. Concur with investigation findings. Date: 28/04/2023 Signature: Dr. S.M. Kulkarni,(Project):(if applicable) Fleet experience reviewed. Similar occurrences noted on other platforms. Support fleet-wide inspection. Date: 29/04/2023 Signature: Gp Capt V.S. Pillai,"(Quality Aspects) From quality standpoint, root cause analysis is thorough. Corrective measures are appropriate. Concur. Date: 03/05/2023 Signature: Wg Cdr B.P. Gupta",/ RCMA (Design Aspects) Airworthiness implications assessed. Recommend issuance of technical directive for fleet-wide compliance. Date: 06/05/2023 Signature: Sqn Ldr V.K. Patel,31/03/2023,Sqn Ldr V.K. Patel,2023-04-26,Dr. S.M. Kulkarni,2023-04-28,Gp Capt V.S. Pillai,2023-04-29,Wg Cdr B.P. Gupta,2023-05-03,Sqn Ldr V.K. Patel,2023-05-06,Thermal cycling induced solder joint failure in electronic assembly,4,69,0,0.154567491031106,Low
